Die Sequenzlänge der folgenden Ergebnisse beträgt: 100000 und die Ordnung(falls ungleich 0) beträgt: 0
Die angewandte Verteilung der Zufallszahlen ist die Standardnormalverteilung
Generator: AnsiC, Verfahren: SerielleAutokorrelation, Wert: 0,0119761153184848
Generator: AnsiC, Verfahren: SequenzUpDown, Wert: 1696,01597277337
Generator: AnsiC, Verfahren: Eigen, Wert: 0,662286622866229
Generator: MinimalStandard, Verfahren: SerielleAutokorrelation, Wert: 0,00176612464702661
Generator: MinimalStandard, Verfahren: SequenzUpDown, Wert: 356,212383708112
Generator: MinimalStandard, Verfahren: Eigen, Wert: 0,668076680766808
Generator: RANDU, Verfahren: SerielleAutokorrelation, Wert: -0,00379504069229746
Generator: RANDU, Verfahren: SequenzUpDown, Wert: 224,392241512347
Generator: RANDU, Verfahren: Eigen, Wert: 0,666166661666617
Generator: SIMSCRIPT, Verfahren: SerielleAutokorrelation, Wert: -0,0348057618851468
Generator: SIMSCRIPT, Verfahren: SequenzUpDown, Wert: 4821,59706238977
Generator: SIMSCRIPT, Verfahren: Eigen, Wert: 0,653876538765388
Generator: NAGsLCG, Verfahren: SerielleAutokorrelation, Wert: 0,99995660745382
Generator: NAGsLCG, Verfahren: SequenzUpDown, Wert: 54721,2027777778
Generator: NAGsLCG, Verfahren: Eigen, Wert: 0,49999499995
Generator: MaplesLCG, Verfahren: SerielleAutokorrelation, Wert: 0,00120621713234475
Generator: MaplesLCG, Verfahren: SequenzUpDown, Wert: 89,3441694224004
Generator: MaplesLCG, Verfahren: Eigen, Wert: 0,666406664066641



















































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































