Die Sequenzlänge der folgenden Ergebnisse beträgt: 100000 und die Ordnung(falls ungleich 0) beträgt: 1
Die angewandte Verteilung der Zufallszahlen ist die Gleichverteilung
Generator: AnsiC, Verfahren: SerielleAutokorrelation, Wert: -0,0122284475427669
Generator: AnsiC, Verfahren: SequenzUpDown, Wert: 718,75
Generator: AnsiC, Verfahren: Eigen, Wert: 0,66331
Generator: MinimalStandard, Verfahren: SerielleAutokorrelation, Wert: 0,00236662549748811
Generator: MinimalStandard, Verfahren: SequenzUpDown, Wert: 53,25
Generator: MinimalStandard, Verfahren: Eigen, Wert: 0,66662
Generator: RANDU, Verfahren: SerielleAutokorrelation, Wert: 0,000837379146181535
Generator: RANDU, Verfahren: SequenzUpDown, Wert: 149,25
Generator: RANDU, Verfahren: Eigen, Wert: 0,66691
Generator: SIMSCRIPT, Verfahren: SerielleAutokorrelation, Wert: -0,00647031756024695
Generator: SIMSCRIPT, Verfahren: SequenzUpDown, Wert: 403,75
Generator: SIMSCRIPT, Verfahren: Eigen, Wert: 0,6659
Generator: NAGsLCG, Verfahren: SerielleAutokorrelation, Wert: -0,411777628796966
Generator: NAGsLCG, Verfahren: SequenzUpDown, Wert: 8334,25
Generator: NAGsLCG, Verfahren: Eigen, Wert: 0,75
Generator: MaplesLCG, Verfahren: SerielleAutokorrelation, Wert: -0,000430896183609194
Generator: MaplesLCG, Verfahren: SequenzUpDown, Wert: 47,25
Generator: MaplesLCG, Verfahren: Eigen, Wert: 0,66641
Generator: Datumsbasiert, Verfahren: SerielleAutokorrelation, Wert: 0,727647003498732
Generator: Datumsbasiert, Verfahren: SequenzUpDown, Wert: 22533,75
Generator: Datumsbasiert, Verfahren: Eigen, Wert: 0,77655
